row_number_demand,po_number,priority,row_number_supply_combination,is_fulfilled_demand,percent_fulfilled_demand,total_stock_supply_kg,count_farmer,count_processing,count_estimate_harvest_date,total_estimate_duration
25,,1.0,130,no,57.78,3000.0,1,1.0,1.0,16.0
26,,1.0,443,yes,216.67,15000.0,1,1.0,1.0,4.0
26,,2.0,"348, 353",yes,144.45,10000.0,1,1.0,1.0,16.0
26,,3.0,353,yes,115.56,8000.0,1,1.0,1.0,16.0
26,,4.0,"358, 443",yes,288.89,20000.0,1,1.0,1.0,25.0
26,,5.0,"348, 353, 443",yes,361.12,25000.0,1,2.0,1.0,20.0
26,,6.0,"353, 443",yes,332.23,23000.0,1,2.0,1.0,20.0
26,,7.0,"348, 443",yes,245.56,17000.0,1,2.0,1.0,20.0
26,,8.0,"348, 353, 358, 443",yes,433.34,30000.0,1,2.0,1.0,41.0
26,,9.0,"353, 358, 443",yes,404.45,28000.0,1,2.0,1.0,41.0
26,,10.0,"348, 358, 443",yes,317.78,22000.0,1,2.0,1.0,41.0
26,,11.0,"348, 353, 358",yes,216.67,15000.0,1,2.0,1.0,41.0
26,,12.0,"353, 358",yes,187.78,13000.0,1,2.0,1.0,41.0
